Magic,Symbol,TF,n_trades,OsRank,CsRank,BestOpenShift,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE,hitTF1,hitTF2,hitTF3,TimeToMAE_med_s,TimeToMFE_med_s,OsScoreApprox,CsScoreApprox,open_too_late,open_too_early,open_class,close_too_late,close_too_early,close_class,hitTF_max,retTF_max,edge_best_horizon,edge_best_hit,strong_predictive_edge,moderate_predictive_edge,edge_class,MFE_to_MAE,mae_mfe_class
220198149,GBPJPY,60,91,8.076923076923077,6.21978021978022,-0.3153846153846154,-0.15274725274725276,-0.0875934065934066,1.0100549450549452,0.6402747252747253,0.04157954545454545,-0.0005750000000000067,-0.2854078947368421,0.015846153846153847,0.09875555555555555,0.11504444444444444,0.6943626373626374,0.9259120879120879,0.5714285714285714,0.6043956043956044,0.5604395604395604,34148.5,26569.5,2.9230769230769234,4.78021978021978,True,False,too_late,True,False,too_late,0.6043956043956044,0.11504444444444444,TF2,0.6043956043956044,True,False,strong,1.3334704923481095,balanced
120122468,GBPUSD,60,71,7.971830985915493,5.366197183098592,-0.34225352112676055,-0.176056338028169,0.00032816901408450695,0.006676478873239437,0.003668732394366197,0.0001696969696969697,0.0005558333333333333,0.002203333333333333,0.0003997183098591549,-6.521126760563382e-05,0.00010028169014084502,0.004276056338028169,0.0059132394366197185,0.647887323943662,0.49295774647887325,0.5211267605633803,39080.0,47911.0,3.028169014084507,5.633802816901408,True,False,too_late,False,False,ok,0.647887323943662,0.0003997183098591549,TF1,0.647887323943662,True,False,strong,1.3828722002635045,balanced
203020122,EURJPY,30,70,7.357142857142857,7.314285714285714,-0.20142857142857143,-0.14285714285714285,0.06541428571428572,0.5491428571428572,0.5486,0.05942857142857143,0.020409090909090915,0.009655737704918023,0.03821428571428572,0.04528571428571428,0.056685714285714284,0.359,0.7234285714285714,0.45714285714285713,0.5,0.6,12120.0,12878.0,3.6428571428571432,3.685714285714286,True,False,too_late,True,False,too_late,0.6,0.056685714285714284,TF3,0.6,True,False,strong,2.0151213688818146,high_R
913034165,XAUUSD,30,47,7.595744680851064,6.914893617021277,-0.30212765957446813,-0.11063829787234043,2.9485106382978725,16.332765957446806,11.251276595744683,0.6993617021276595,0.8974468085106384,3.2142222222222228,1.214468085106383,0.2451063829787234,2.0100000000000002,8.73531914893617,13.495531914893617,0.574468085106383,0.48936170212765956,0.6170212765957447,769.0,3405.0,3.404255319148936,4.085106382978723,True,False,too_late,True,False,too_late,0.6170212765957447,2.0100000000000002,TF3,0.6170212765957447,True,False,strong,1.5449386204208884,balanced
170116193,USDJPY,60,40,7.368421052631579,5.421052631578948,-0.34210526315789475,-0.09473684210526315,0.2046052631578947,1.3026315789473684,0.736,0.07557894736842104,0.06257142857142856,0.053437499999999985,-0.045525,-0.0507,0.032625,0.5420789473684211,0.8219473684210526,0.45,0.6,0.6,13831.0,36349.0,3.6315789473684212,5.578947368421052,True,False,too_late,False,False,ok,0.6,0.032625,TF2,0.6,True,False,strong,1.5162871984076896,balanced
111572150,EURUSD,15,38,7.657894736842105,7.552631578947368,-0.3078947368421052,-0.17105263157894737,0.0004799999999999999,0.003987894736842105,0.0026055263157894735,0.0008860526315789474,0.0010660526315789474,0.00035529411764705885,0.0009039473684210526,0.0009436842105263159,0.0007026315789473685,0.0019054054054054056,0.0038202702702702703,0.5263157894736842,0.5526315789473685,0.631578947368421,7298.0,6403.0,3.3421052631578947,3.4473684210526314,True,False,too_late,True,False,too_late,0.631578947368421,0.0009436842105263159,TF3,0.631578947368421,True,False,strong,2.004964539007092,high_R
173034139,USDJPY,30,37,7.378378378378378,7.054054054054054,-0.3216216216216216,-0.2216216216216216,0.08548648648648646,0.8098648648648649,0.5977837837837838,-0.04386486486486487,-0.04699999999999999,0.0919,0.04335135135135134,-0.060162162162162164,-0.026297297297297295,0.3683888888888889,0.7153055555555556,0.6216216216216216,0.4594594594594595,0.5405405405405406,7257.0,5334.0,3.621621621621622,3.945945945945945,True,False,too_late,True,False,too_late,0.6216216216216216,0.04335135135135134,TF1,0.6216216216216216,True,False,strong,1.9417131654350779,balanced
11019380,EURUSD,60,34,7.411764705882353,7.911764705882353,-0.29411764705882354,-0.16176470588235295,0.00045176470588235306,0.0053861764705882345,0.002572941176470588,0.001363529411764706,0.0006315625000000001,0.00026785714285714287,0.001125294117647059,0.0009005882352941176,0.0011690909090909091,0.0013876470588235295,0.0036791176470588236,0.6470588235294118,0.6176470588235294,0.6470588235294118,3898.0,7498.5,3.5882352941176463,3.0882352941176467,True,False,too_late,True,False,too_late,0.6470588235294118,0.0011690909090909091,TF1,0.6470588235294118,True,False,strong,2.6513353115727,high_R
113034119,EURUSD,30,32,6.96875,7.03125,-0.309375,-0.265625,0.00025031249999999994,0.0056446875,0.0046378125,0.000923,0.0013328571428571428,0.0007538461538461538,0.00027125,0.00028000000000000003,0.0006125,0.0029609375,0.0058390625,0.5,0.59375,0.625,6898.0,39146.5,4.03125,3.96875,True,False,too_late,True,False,too_late,0.625,0.0006125,TF3,0.625,True,False,strong,1.9720316622691292,balanced
170101021,USDJPY,60,32,8.1875,5.28125,-0.3875,-0.065625,0.1785,0.986875,0.457625,0.004843750000000005,0.21246875,0.28023333333333333,-0.061625,0.0184375,0.10848387096774195,0.3271290322580645,0.5188064516129032,0.46875,0.65625,0.6875,3298.0,11635.0,2.8125,5.71875,True,False,too_late,False,False,ok,0.6875,0.10848387096774195,TF3,0.6875,True,False,strong,1.5859382703875358,balanced
