Magic,Symbol,TF,n_trades,SL_pips,MAE_good_pips,MAE_soft_cut_pips,P1_trigger_pips,P1_SL_pips,P2_trigger_pips,P2_SL_pips,P3_trigger_pips,P3_SL_pips,TP_lab_pips,scalp_TF1_ok,scalp_TF2_ok,scalp_TF3_ok,R_BAD_THRESHOLD,early_abort_flag_rate,early_abort_win_rate,early_abort_avg_pl,median_bars_winners,median_bars_losers,min_bars_before_abort_check,R_med_winners,R_med_losers,R_q10_winners,R_q90_winners,R_q10_losers,R_q90_losers,Score_OSCS,time_to_mae_med_s,time_to_mfe_med_s,mfe_median_bars,mae_median_bars,mae_atr_mean,mfe_atr_mean,e_ratio_mean,mae_atr_median,mfe_atr_median,e_ratio_median,mae_p10,mae_p25,mae_p50,mae_p75,mae_p90,mfe_p10,mfe_p25,mfe_p50,mfe_p75,mfe_p90,toxic_cluster_identified,abort_toxic_cluster_pct
850538731,NAS100,5,37,498,311,423,311,-156,623,0,729,468,833,False,False,False,0.7,0.3146779303062302,0.003355704697986577,-7.26025167785235,61.2,21.9,15.0,7.075179716275606,0.4112702061789154,1.7132093920184823,525.4430000000006,0.05859733923999973,3.2206671489935847,6.593114156733153,2815.0,22955.0,76.51666666666667,9.383333333333333,2.457176,4.714424,2.208049,2.297733,4.147585,2.477974,30.605,119.42500000000001,353.435,626.0,879.0,80.083,231.915,544.94,1027.445,1629.103,True,0.3146779303062302
111558157,EURUSD,15,29,56,35,22,35,-17,70,0,73,47,83,False,False,False,0.30538393645189765,0.25957446808510637,0.03278688524590164,-8.149672131147543,404.26666666666665,336.0,101.0,4.027052864959421,0.30538393645189765,0.7601674641148326,21.693877551020407,0.038441952093276076,1.6595533169858843,5.915727513474199,58493.5,221272.5,245.85833333333332,64.99277777777777,8.240957,11.547654,11.880843,4.253877,11.480048,1.504131,9.8,20.9,52.3,86.35,141.72,9.040000000000001,24.55,57.2,109.9,176.62,True,0.25957446808510637
120142107,GBPUSD,60,22,69,43,28,43,-22,87,0,88,51,90,False,False,False,0.2940587235655374,0.24401913875598086,0.0,-12.56078431372549,82.61666666666666,81.63333333333333,21.0,3.634146341463415,0.2940587235655374,0.8443208828672717,22.45453149001539,0.03931262144497438,2.546414356199578,5.852360488635597,61951.0,106519.0,29.58861111111111,17.20861111111111,6.077357,7.592238,10.575877,3.115112,5.625557,2.105914,11.96,26.3,58.0,123.8,196.14000000000001,13.08,31.9,73.8,133.7,205.84000000000026,True,0.24401913875598086
209173158,EURJPY,60,30,66,41,26,41,-21,83,0,97,62,111,False,False,False,0.3447368421052632,0.2733812949640288,0.0,-4.502236842105263,50.0,16.033333333333335,12.0,5.020576131687243,0.3447368421052632,1.2837402277495382,20.10102864377275,0.0168421052631579,1.6114616360177554,5.561232249553813,58557.0,52462.0,14.572777777777778,16.265833333333333,2.487008,4.664573,4.147505,2.788991,3.750447,1.325221,11.690000000000001,25.4,65.0,76.0,76.0,5.980000000000001,20.200000000000003,65.9,140.35,180.0,True,0.2733812949640288
910123182,XAUUSD,60,31,638,398,255,398,-199,797,0,1462,940,1671,False,False,False,0.42674999999999996,0.3541666666666667,0.0,-5.948627450980392,10.399999999999999,1.2666666666666666,3.0,7.639532947312537,0.42674999999999996,3.3004908897450433,57.118295545716585,0.0,1.7798333333333334,5.512706608024556,313.0,3917.5,1.0881944444444445,0.08694444444444445,0.453873,1.818422,10.364315,0.478077,0.758953,1.537267,220.90000000000003,452.9,600.0,600.0,600.0,0.0,112.275,518.65,1496.875,2485.400000000001,True,0.3541666666666667
120156886,GBPUSD,60,343,79,49,32,49,-25,99,0,100,64,113,False,False,False,0.32644292055702945,0.279874213836478,0.0449438202247191,-13.038651685393258,106.06666666666666,103.09166666666667,27.0,3.4759210526315787,0.32644292055702945,0.8217042507275931,18.2130601247873,0.032889650637111245,1.2025892878200644,5.469270985822213,128463.0,142075.0,39.46527777777778,35.68416666666667,5.769904,6.345022,7.667661,4.607921,4.639893,0.954675,17.020000000000003,42.175,85.3,158.775,219.10000000000002,15.6,38.025,78.9,143.70000000000002,234.18000000000006,True,0.279874213836478
220111819,GBPJPY,60,41,94,59,38,59,-30,118,0,119,68,122,False,False,False,0.3444444444444445,0.2608695652173913,0.0,-6.9191666666666665,66.28333333333333,37.583333333333336,17.0,4.502867815753868,0.3444444444444445,1.6029868883914298,18.697966401414675,0.0691538303553091,4.727537051880493,5.45574784932097,18150.0,39797.5,11.05486111111111,5.041666666666667,2.338912,4.554164,4.642441,2.292602,2.734155,1.033821,10.9,26.85,71.4,108.0,108.0,10.2,28.549999999999997,80.3,166.25,240.4,True,0.2608695652173913
852412345,NAS100,1440,193,2106,1316,842,1316,-658,2632,0,2692,1731,3077,False,False,False,0.6,0.3,0.5238095238095238,-23.862857142857138,5.999305555555556,15.502083333333333,3.0,2.05127380271001,0.09811789422016065,0.3983136690392344,21.835254451907435,0.007218017854898345,0.21012377172011426,5.433249469810028,7768.0,8700.0,0.10069444444444445,0.08990740740740741,0.334297,0.17586,4.572783,0.221986,0.126213,0.48915,309.214,781.61,2260.94,4163.745,7973.081,1106.509,1671.1799999999998,3535.4449999999997,4731.5475,6028.066000000001,False,0.3
201514104,EURJPY,15,33,74,46,52,46,-23,93,0,96,61,109,False,False,False,0.3391472868217054,0.2363013698630137,0.0,-6.01463768115942,263.9,109.8,66.0,4.53042328042328,0.3391472868217054,1.28080464839357,19.104599524187154,0.05172810132983921,1.585823810212643,5.410923250678489,52237.0,101895.0,113.21666666666667,58.041111111111114,6.12748,10.304507,13.833492,6.264867,10.285666,1.690741,17.310000000000002,34.6,56.9,88.25,124.6400000000001,7.609999999999999,24.1,67.55,138.625,252.57,True,0.2363013698630137
11042362,EURUSD,240,80,48,30,19,30,-15,60,0,65,42,74,False,False,False,0.2871580933033447,0.25609756097560976,0.0,-6.7890476190476186,12.214583333333334,12.866666666666667,3.0,4.002125662856303,0.2871580933033447,0.7482760094707269,11.088173714759538,0.008154349554661896,1.932163110222494,5.318639509859046,103374.0,403542.0,28.02375,7.17875,2.343047,4.212721,7.475184,1.853325,3.654154,2.032864,11.12,19.7,42.75,81.1,131.31,3.22,14.075,43.0,94.125,121.37000000000003,True,0.25609756097560976
