Magic,Symbol,TF,n_trades,MAE_ATR_mean,MFE_ATR_mean,E_Ratio_mean,MAE_ATR_median,MFE_ATR_median,E_Ratio_median
209173158,EURJPY,60,30,2.487008,4.664573,4.147505,2.788991,3.750447,1.325221
220111112,GBPJPY,60,30,1.545662,3.587736,3.921148,1.331242,1.591964,1.606933
220111819,GBPJPY,60,41,2.338912,4.554164,4.642441,2.292602,2.734155,1.033821
220111876,GBPJPY,60,82,2.265585,3.041076,21.310967,2.182236,2.114308,0.904825
220112052,GBPJPY,60,72,1.924167,5.231583,6.127447,1.579176,2.447358,1.791123
220112186,GBPJPY,60,242,4.207107,4.321933,5.656613,2.993650,3.072406,0.958457
220114639,GBPJPY,60,45,1.846035,2.252762,6.911269,1.519399,1.328439,0.812097
220115119,GBPJPY,60,21,1.758036,2.143019,4.766790,1.748461,1.488631,1.271186
220118191,GBPJPY,60,177,2.821408,4.093081,5.416538,3.008988,2.854758,1.227929
220125163,GBPJPY,60,41,1.467020,1.985300,2.934328,1.395878,1.206281,0.806324
220131160,GBPJPY,60,246,2.857386,4.277612,7.739381,2.191048,2.986050,1.674948
220132119,GBPJPY,60,230,2.412976,3.966057,11.696021,2.499508,3.140440,1.295237
220138124,GBPJPY,60,33,4.120106,3.960647,1.557752,3.047463,2.411908,0.785331
220141135,GBPJPY,60,254,2.518511,4.249425,7.686280,1.963920,3.106353,2.083333
220144148,GBPJPY,60,191,3.322776,4.191914,13.698780,2.754976,3.282245,1.122265
220149150,GBPJPY,60,280,2.535828,3.835329,5.609754,2.356667,2.747913,1.131868
220154117,GBPJPY,60,249,2.773217,4.432454,4.202118,2.857934,3.104926,1.183845
220156108,GBPJPY,60,282,3.330898,4.334264,9.710001,2.666510,2.906504,1.228111
220159174,GBPJPY,60,217,4.312901,5.070685,5.590410,3.220399,3.421703,1.249374
220163569,GBPJPY,60,210,2.401879,3.960465,4.831227,2.589149,2.407022,1.178193
220166148,GBPJPY,60,369,2.195368,3.633519,11.933588,2.041166,2.581191,1.332845
220167120,GBPJPY,60,200,3.885491,4.681627,8.057351,2.559172,3.465966,1.506258
220177157,GBPJPY,60,316,2.175541,3.181756,12.092130,1.530278,2.205337,1.583189
220198149,GBPJPY,60,264,2.309608,3.317945,7.445693,2.196000,2.441796,0.971429
220410144,GBPJPY,240,28,2.072723,1.683824,2.750111,1.524504,1.383483,0.637732
220413756,GBPJPY,240,31,0.857776,2.165289,8.125862,0.879318,0.704652,0.844431
220418158,GBPJPY,240,231,1.866187,2.442655,5.304808,1.269081,1.806856,1.461760
220421159,GBPJPY,240,183,1.501196,1.695793,4.908955,1.252840,1.280851,1.068921
220428175,GBPJPY,240,240,1.236545,1.871951,10.110175,0.857944,1.220171,1.442353
220430130,GBPJPY,240,26,1.201894,1.950297,13.439584,1.333355,0.765392,0.778708
220442456,GBPJPY,240,35,0.648509,1.114132,5.993084,0.639845,0.865173,1.630424
220472179,GBPJPY,240,89,1.009249,1.509967,4.347539,0.986131,1.333238,1.288189
221510100,GBPJPY,15,200,4.853965,7.733091,14.312087,4.839823,5.277258,1.144186
221513194,GBPJPY,15,254,5.224112,7.552583,9.825886,4.975579,5.819321,1.208095
221518164,GBPJPY,15,269,4.241093,7.198697,12.890738,3.808814,4.261391,1.388950
221575192,GBPJPY,15,248,4.351925,7.542911,6.331098,4.150530,5.352767,1.320675
221585147,GBPJPY,15,268,4.071985,7.303489,9.327004,3.696970,4.462312,1.774603
222414154,GBPJPY,1440,63,0.856148,1.203729,3.831349,0.830163,0.952784,0.933504
222428195,GBPJPY,1440,41,0.583395,0.868894,25.433531,0.616299,0.666023,0.844711
223011130,GBPJPY,30,240,3.505645,5.620236,6.530340,2.853640,4.133166,1.785507
223012186,GBPJPY,30,266,3.177547,5.151197,14.576498,2.856656,3.473393,1.535697
223019174,GBPJPY,30,20,3.270055,5.590273,2.498734,3.186483,3.652052,1.526775
223022108,GBPJPY,30,227,2.676913,4.261605,5.508788,2.524643,2.747447,1.072598
223022483,GBPJPY,30,321,3.850389,5.119052,4.545705,3.541858,3.316312,0.932984
223023153,GBPJPY,30,268,3.564020,5.019783,5.809542,2.825919,3.592799,1.443850
223030112,GBPJPY,30,199,3.025688,4.911389,7.286848,3.018598,3.412308,1.194731
223034156,GBPJPY,30,32,2.866719,3.924471,1.971035,2.577368,3.697345,1.278940
223038149,GBPJPY,30,294,3.419671,5.267629,9.542769,3.232866,3.499964,1.022569
223057156,GBPJPY,30,24,3.523930,4.930633,8.652960,3.593774,4.653256,1.108425
223071158,GBPJPY,30,320,4.226590,5.190723,5.154326,3.511563,3.147883,0.948758
223082351,GBPJPY,30,27,1.605975,2.625429,3.766441,1.280066,2.001071,1.007394
800413945,GER40,240,130,1.518569,2.405212,4.306482,1.009028,1.473758,1.851776
800413946,GER40,240,28,1.771481,3.265338,4.719192,1.035345,2.291646,3.473346
800422054,GER40,240,119,1.033132,1.528356,5.007921,0.560068,1.333568,2.438772
800422153,GER40,240,66,0.906740,1.305636,4.144120,0.499864,1.117732,2.114362
810411336,US30,240,74,1.345465,2.463362,7.308853,1.441574,1.573205,1.063962
811521059,US30,15,78,1.319978,1.330935,4.279878,1.461070,1.173910,1.174917
822412345,US500,1440,191,0.348719,0.154790,4.907794,0.229585,0.088841,0.355334
850443362,NAS100,240,56,0.781897,1.543637,7.353779,0.683133,0.996179,2.438281
850538731,NAS100,5,37,2.457176,4.714424,2.208049,2.297733,4.147585,2.477974
852412345,NAS100,1440,193,0.334297,0.175860,4.572783,0.221986,0.126213,0.489150
910110141,XAUUSD,60,20,1.344040,1.938032,4.723634,1.085872,2.092343,1.775612
